epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,band_1,band_2,band_3,band_4,band_5
364,0.38406,0.33293,0.22856,0.18884,3.92,31,68,101,140,164
365,0.38515,0.33293,0.23009,0.18902,3.93,31,68,101,140,164
366,0.38528,0.33293,0.23037,0.18925,3.94,31,68,101,140,164
367,0.38555,0.33415,0.23076,0.19096,3.95,31,68,101,140,164
368,0.3861,0.33415,0.23154,0.19096,3.96,31,68,101,140,164
369,0.38677,0.33415,0.2325,0.19101,3.97,31,68,101,140,164
370,0.38772,0.33415,0.23383,0.19101,3.99,31,68,101,140,164
371,0.3884,0.33537,0.2349,0.19254,4.0,31,68,101,140,164
372,0.38921,0.33537,0.23603,0.19254,4.01,31,68,101,140,164
373,0.38948,0.33537,0.23649,0.19254,4.02,31,68,101,140,164
374,0.39003,0.33537,0.23731,0.19254,4.03,31,68,101,140,164
375,0.39043,0.33537,0.23787,0.19258,4.04,31,68,101,140,164
376,0.39057,0.33659,0.2381,0.19411,4.05,31,68,101,140,164
377,0.39084,0.33659,0.2386,0.19411,4.06,31,68,101,140,164
378,0.39125,0.33659,0.23922,0.19411,4.07,31,68,101,140,164
379,0.39179,0.3378,0.24003,0.19582,4.08,31,68,101,140,164
380,0.39287,0.3378,0.24161,0.19582,4.09,31,68,101,140,164
381,0.39355,0.33902,0.24253,0.19735,4.1,31,68,101,140,164
382,0.39423,0.33902,0.24351,0.1974,4.11,31,68,101,140,164
383,0.39572,0.34024,0.24555,0.19893,4.12,31,68,101,140,164
384,0.39612,0.34024,0.24612,0.19928,4.13,31,68,101,140,164
385,0.39721,0.34024,0.24765,0.19928,4.15,31,68,101,140,164
386,0.39897,0.34024,0.25002,0.19928,4.16,31,68,101,140,164
