epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10
238,0.36306,0.32073,0.1958,0.16272,3.7,20,31,56,73,92,108,125,142,164,183
239,0.36306,0.32073,0.19591,0.16272,3.72,20,31,56,73,92,108,125,142,164,183
240,0.36306,0.32073,0.19606,0.16272,3.73,20,31,56,73,92,108,125,142,164,183
241,0.36306,0.32073,0.19614,0.16272,3.75,20,31,56,73,92,108,125,142,164,183
242,0.36306,0.32073,0.19623,0.16286,3.76,20,31,56,73,92,108,125,142,164,183
243,0.36306,0.32073,0.19636,0.16286,3.78,20,31,56,73,92,108,125,142,164,183
244,0.36306,0.32073,0.19651,0.16315,3.79,20,31,56,73,92,108,125,142,164,183
245,0.36306,0.32073,0.19657,0.16329,3.81,20,31,56,73,92,108,125,142,164,183
246,0.36292,0.32073,0.19648,0.16329,3.82,20,31,56,73,92,108,125,142,164,183
247,0.36279,0.32073,0.19637,0.16329,3.84,20,31,56,73,92,108,125,142,164,183
248,0.36279,0.32073,0.19643,0.16329,3.85,20,31,56,73,92,108,125,142,164,183
249,0.36279,0.32073,0.19648,0.16329,3.87,20,31,56,73,92,108,125,142,164,183
250,0.36279,0.32073,0.19656,0.16343,3.88,20,31,56,73,92,108,125,142,164,183
251,0.36279,0.32073,0.1966,0.16343,3.9,20,31,56,73,92,108,125,142,164,183
252,0.36279,0.32073,0.19663,0.16343,3.91,20,31,56,73,92,108,125,142,164,183
253,0.36279,0.32073,0.19671,0.16358,3.93,20,31,56,73,92,108,125,142,164,183
254,0.36279,0.32073,0.19674,0.16358,3.94,20,31,56,73,92,108,125,142,164,183
255,0.36279,0.32073,0.19676,0.16358,3.96,20,31,56,73,92,108,125,142,164,183
256,0.36279,0.32073,0.19683,0.16386,3.97,20,31,56,73,92,108,125,142,164,183
257,0.36279,0.32073,0.1969,0.16386,3.99,20,31,56,73,92,108,125,142,164,183
258,0.36279,0.32073,0.197,0.16386,4.0,20,31,56,73,92,108,125,142,164,183
259,0.36279,0.32073,0.19705,0.164,4.02,20,31,56,73,92,108,125,142,164,183
260,0.36279,0.32073,0.19707,0.164,4.03,20,31,56,73,92,108,125,142,164,183
261,0.36279,0.32073,0.1971,0.164,4.05,20,31,56,73,92,108,125,142,164,183
262,0.36279,0.32073,0.19719,0.164,4.07,20,31,56,73,92,108,125,142,164,183
263,0.36279,0.32073,0.19724,0.164,4.08,20,31,56,73,92,108,125,142,164,183
264,0.36279,0.32073,0.19731,0.164,4.1,20,31,56,73,92,108,125,142,164,183
265,0.36279,0.32073,0.19731,0.164,4.11,20,31,56,73,92,108,125,142,164,183
266,0.36279,0.32073,0.19733,0.164,4.13,20,31,56,73,92,108,125,142,164,183
267,0.36279,0.32073,0.19742,0.164,4.14,20,31,56,73,92,108,125,142,164,183
268,0.36279,0.32073,0.1975,0.164,4.16,20,31,56,73,92,108,125,142,164,183
269,0.36279,0.32073,0.19754,0.164,4.17,20,31,56,73,92,108,125,142,164,183
270,0.36265,0.32073,0.19742,0.164,4.19,20,31,56,73,92,108,125,142,164,183
271,0.36265,0.32073,0.19745,0.16415,4.21,20,31,56,73,92,108,125,142,164,183
272,0.36265,0.32073,0.19745,0.16415,4.22,20,31,56,73,92,108,125,142,164,183
273,0.36265,0.32073,0.19751,0.16429,4.24,20,31,56,73,92,108,125,142,164,183
