epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25,band_26,band_27,band_28,band_29,band_30
140,0.45201,0.44865,0.20648,0.20247,5.11,5,10,14,19,24,24,32,34,38,38,47,48,57,57,62,63,73,74,81,87,86,87,92,96,106,106,110,117,122,125
141,0.45302,0.44685,0.20765,0.1997,5.15,5,10,14,19,24,24,32,34,38,38,47,48,57,57,62,63,73,74,81,87,86,87,92,96,106,106,110,117,122,125
142,0.45302,0.44865,0.2073,0.20198,5.18,5,10,14,19,24,24,32,34,38,38,47,48,57,57,62,63,73,74,81,87,86,87,92,96,106,106,110,117,122,125
143,0.45382,0.44685,0.20818,0.1992,5.22,5,10,14,19,24,24,32,34,38,38,47,48,57,57,62,63,73,74,81,87,86,87,92,96,106,106,110,117,122,125
144,0.45382,0.44505,0.20804,0.19602,5.26,5,10,14,19,24,24,32,34,38,38,47,48,57,57,62,63,73,74,81,87,86,87,92,96,106,106,110,117,122,125
145,0.45502,0.44865,0.20957,0.20083,5.29,5,10,14,19,24,24,32,34,38,38,47,48,57,57,62,63,73,74,82,87,86,87,92,96,106,106,110,117,122,125
146,0.45442,0.44865,0.20848,0.20099,5.33,5,10,14,19,24,24,32,34,38,38,47,48,57,57,62,63,73,74,82,87,86,87,92,96,106,106,110,117,122,125
147,0.45402,0.44865,0.2078,0.20099,5.36,5,10,14,19,24,24,32,34,38,38,47,48,57,57,62,63,73,74,82,87,86,87,92,96,106,106,110,117,122,125
148,0.45342,0.44685,0.20681,0.19821,5.4,5,10,14,19,24,24,32,34,38,38,47,48,57,57,62,63,73,74,82,87,86,87,92,96,106,106,110,117,122,125
149,0.45402,0.44865,0.20764,0.20033,5.43,5,10,14,19,24,24,32,34,38,38,47,48,57,57,62,63,73,74,82,87,86,87,92,96,106,106,110,117,122,125
150,0.45442,0.44865,0.20818,0.20033,5.46,5,10,14,19,24,24,32,34,38,38,47,48,57,57,62,63,73,74,82,87,86,87,92,96,106,106,110,117,122,125
